Element	Fraction	BiolRep	Counts	CPM
9-Sep_wgs_alt	DNA	1	4493	660.227404477526
9-Sep_wgs_alt	DNA	2	4540	621.230370009734
9-Sep_wgs_alt	DNA	3	5158	656.588203230725
9-Sep_wgs_alt	DNA	4	5155	650.511683278165
9-Sep_wgs_alt	Post	1	6746	745.507614875142
9-Sep_wgs_alt	Post	2	7528	759.782476941339
9-Sep_wgs_alt	Post	3	7275	785.591761167146
9-Sep_wgs_alt	Post	4	7317	773.389891454829
9-Sep_wgs_alt	Post	5	7415	706.129547298109
9-Sep_wgs_alt	Post	6	6981	725.538110029865
9-Sep_wgs_alt	Pre	1	3322	421.266421718376
9-Sep_wgs_alt	Pre	2	4546	521.768812342392
9-Sep_wgs_alt	Pre	3	4477	458.305228825546
9-Sep_wgs_alt	Pre	4	4595	488.352708200064
9-Sep_wgs_alt	Pre	5	3731	477.245397383222
9-Sep_wgs_alt	Pre	6	4567	494.502704281211
9-Sep_wgs_ref	DNA	1	5359	787.482452836649
9-Sep_wgs_ref	DNA	2	5263	720.161990608201
9-Sep_wgs_ref	DNA	3	6148	782.61036709238
9-Sep_wgs_ref	DNA	4	5947	750.454506392871
9-Sep_wgs_ref	Post	1	7374	814.90856093823
9-Sep_wgs_ref	Post	2	8125	820.036214817797
9-Sep_wgs_ref	Post	3	7489	808.700577234469
9-Sep_wgs_ref	Post	4	8477	895.999195006504
9-Sep_wgs_ref	Post	5	8581	817.167585349302
9-Sep_wgs_ref	Post	6	7935	824.687709939405
9-Sep_wgs_ref	Pre	1	3923	497.479883323658
9-Sep_wgs_ref	Pre	2	4750	545.182986939367
9-Sep_wgs_ref	Pre	3	5741	587.699423428068
9-Sep_wgs_ref	Pre	4	5038	535.434372994977
9-Sep_wgs_ref	Pre	5	4628	591.983837869083
9-Sep_wgs_ref	Pre	6	5261	569.647192297668
ABCB5_wgs_alt	DNA	1	1107	162.668982140356
ABCB5_wgs_alt	DNA	2	1292	176.790669174576
ABCB5_wgs_alt	DNA	3	1317	167.647666470505
ABCB5_wgs_alt	DNA	4	1114	140.576142613361
ABCB5_wgs_alt	Post	1	1165	128.745385610664
ABCB5_wgs_alt	Post	2	1377	138.977214498967
